Housename,District,Area,Street,House Stype,Acreage,Houseprice
绿地华家池印,江干,市中心,秋涛北路217号,3室,89-288㎡,均价52000元/㎡
璞丽东方,余杭,乔司,杭州市友爱路民丰路路口,3室4室,89-137㎡,均价27000元/㎡
绿地华家池印公馆,江干,市中心,秋涛北路与艮山西路交叉口,3室4室,46-110㎡,均价21000元/㎡
绿都汀蘭府,江干,丁桥,建塘路与明珠街交汇处,商住,89-115㎡,均价28000元/㎡
嘉和银领时代,余杭,临平,"藕花洲大街,近星桥南路",3室4室,242-350㎡,均价20000元/㎡
三花国际,江干,城东新城,明月桥路和鸿泰路交汇处（彭埠地铁站A...,7室别墅,46-52㎡,总价2500万元/套
绿城华景川之江明月,杭州周边,其他,海宁高新区聆涛路与海河路路口,商住,89-150㎡,均价49000元/㎡
世茂天宸,江干,市中心,艮山西路95号,3室4室,90-225㎡,最低35000元/㎡起
合景天銮,拱墅,申花,莫干山路989号,1室2室4室,121-169㎡,总价700万元/套起
禹洲滨之江,之江,之江,枫桦东路与梧桐路口,3室4室,89-139㎡,总价260万元/套
祥生群贤府,余杭,崇贤,崇杭街崇明路交叉口,3室4室,83-140㎡,均价15900元/㎡
合景映月台,余杭,仓前,"溪望路,近良睦路",3室4室别墅,85-225㎡,最低28000元/㎡起
宝嘉誉府,西湖,申花,紫荆花路和石祥路交叉口往西100米（石...,3室4室别墅,88-118㎡,最低27000元/㎡起
融创金成英特学府,余杭,闲林,天目山西路城东路口,3室4室,89-183㎡,均价44100元/㎡
滨湖天地,临安,临安,长桥路,3室4室别墅,61-167㎡,均价45000元/㎡
祥生云溪新语,之江,之江,文景路与碧波路交叉口,1室3室4室,43-49㎡,总价170万元/套
融创莫干溪谷,杭州周边,其他,郭肇村,商住,111-176㎡,均价32000元/㎡
朗诗熙华府,下城,市中心,胜景路与王马东路交汇处（原杭氧厂南侧...,别墅,113-136㎡,均价35000元/㎡
东原印未来,余杭,西溪,杭州市未来科技城文二西路与舒心路交叉...,3室4室,95-140㎡,最低20000元/㎡起
东方君悦,江干,钱江新城,民心路88号,3室4室,62-180㎡,均价40000元/㎡
浙港国际,西湖,申花,紫金花路与长江路口,商住,55-74㎡,均价28000元/㎡
中国铁建西湖国际城,西湖,三墩,紫金港北路延伸段（张家洋路与东陈路口...,商住,89-138㎡,均价32000元/㎡
龙湖天钜,萧山,萧山新城,育才路与博学路交叉口，银河实验小学东,3室4室,89-155㎡,均价30000元/㎡
德信海德公园,余杭,勾庄,杭州市东吴路与良运街交叉口,3室4室,83-125㎡,最低15000元/㎡起
旭辉珺悦府,萧山,萧山老城,萧然西路与潘水路交汇处东南角（地铁2...,3室4室,89-143㎡,均价32000元/㎡
东亚新干线,江干,城东新城,天城路与明月桥路交叉口,3室4室,43-67㎡,均价16000元/㎡
宋都江宸府,富阳,富阳,鹿山街道江波街与依江路交叉口,商住,98-138㎡,总价600万元/套起
荣安翡翠半岛,余杭,崇贤,杭州市余杭区崇杭街与崇明路交叉口,3室4室,89-137㎡,均价14000元/㎡
绿城莲园,余杭,临平,北沙西路荷花路口,3室4室,260㎡,最低17000元/㎡起
世包国际中心,江干,钱江新城,市民街99号,别墅,64.5-218.4㎡,均价16000元/㎡
绿城桃源小镇,余杭,闲林,闲沈路,商住,65-240㎡,均价17000元/㎡
保利融信大国璟,萧山,萧山新城,市心北路与建设一路交汇处东侧200米（...,2室3室4室5室别墅,97-205㎡,总价1000万元/套
融信澜天,余杭,良渚,古墩路与立新路交叉口向北300米,3室4室别墅,89-150㎡,均价30000元/㎡
滨江华家池,江干,市中心,凯旋路与艮山西路交叉口（凯旋路431号...,3室4室别墅,128-278㎡,均价30000元/㎡
华瑞晴庐,萧山,萧山老城,建设二路与宁税路交叉口东南角,3室5室,89-179㎡,均价65000元/㎡
阳光银泰城,下城,华丰,东新路822号,3室4室,50-70㎡,均价24000元/㎡
祥生云浦新语,之江,之江,之江旅游度假区科海路与周二路交叉口,商住,90-142㎡,均价17000元/㎡
理想康城国际,余杭,临平,世纪大道676号(世纪大道与星河南路交口...,3室4室,129-187㎡,均价23000元/㎡
龙悦湾金石院子,余杭,临平,运溪路与五洲路交叉口,3室4室5室,192-250㎡,均价65000元/㎡
香港兴业耦园,余杭,西溪,文二西路转入荆长大道（五常小学旁）,别墅,117-190㎡,均价20000元/㎡
向江来时代中心,江干,钱江新城,江干区塘工局路与严家弄路交叉口,4室5室,38-50㎡,均价30000元/㎡
琴湖碧园,余杭,瓶窑,黄湖镇通达路3号,商住,87-130㎡,均价30000元/㎡
杭州中粮大悦城商铺,拱墅,市中心,西至永固路，东至城市南北主干道莫干山...,3室,500000㎡,均价30000元/㎡
绿城雲杉郡,临安,临安,青山湖路168号,3室,55-126㎡,均价25000元/㎡
恒祺克拉天玺,江干,城东新城,天城路与东宁路交叉口,1室2室3室,34.4-72.44㎡,总价350万元/套
金隅观澜时代,下沙,沿江,24号大街669号,商住,84-272㎡,最低14000元/㎡起
东海闲湖城,余杭,闲林,天目山西路277号,1室2室3室4室,89-400㎡,均价25000元/㎡
明华名港城二期,萧山,瓜沥,东灵南路2-60号,3室4室别墅,92-160㎡,均价14300元/㎡
湘湖壹号,萧山,湘湖,湘湖度假区内，西邻时代大道，北接湘湖...,3室4室,410-1380㎡,均价30000元/㎡
滨江金茂府,滨江,长河,滨盛路与西兴路交界,别墅,140㎡,最低17000元/㎡起
万科融信西雅图,西湖,三墩,紫金港路与庄墩路交叉口庄墩路向西约6...,4室,89-139㎡,最低43000元/㎡起
雅居乐国际花园,余杭,闲林,天目山西路258号,3室4室,60-127㎡,均价55000元/㎡
融信公馆ARC,拱墅,市中心,学院北路与隐秀路交汇处,2室3室4室,121-139㎡,均价46000元/㎡
卓越蔚蓝领秀,江干,丁桥,临丁路与华鹤街交叉口以北,3室,89-118㎡,均价60000元/㎡
侨福一品高尔夫公馆,下沙,大学城北,聆涛路188号,3室4室,87-168㎡,最低34000元/㎡起
大江东宝龙广场,萧山,江东新城,青六路与江东大道交汇口,2室3室4室,98-139㎡,均价30000元/㎡
雷威沁园,临安,临安,临安市临水路与竹林街交叉口,3室4室,89-126㎡,均价21000元/㎡
临平新时代,余杭,临平,杭州市余杭区南苑街道藕花洲大街与绸厂...,3室4室,49-97㎡,均价27000元/㎡
金丽园,余杭,临平,杭州市东湖北路666号,3室4室,88-163㎡,最低20000元/㎡起
文居学府,富阳,富阳,富春街道金苑路399号,3室4室,83-103㎡,总价440万元/套
滨江春盛大江名筑,萧山,江东新城,义府大街与河西弄交叉口,3室4室,143-250㎡,均价18000元/㎡
佳源未来府,余杭,老余杭,凤凰山路与安乐路交叉口,4室5室别墅,39-135㎡,最低21000元/㎡起
三盛颐景御园,余杭,良渚,梧桐圩路与良博路交接处，良渚博物馆西...,1室2室3室4室,138-280㎡,最低46000元/㎡起
星运丽园兰逸,余杭,星桥,星桥南路131-13号,别墅,400㎡,均价27000元/㎡
郡原相江公寓,江干,九堡,"仁爱路,近下沙路",别墅,87.7-255㎡,最低19000元/㎡起
宝龙城市广场,下沙,下沙,2号大街与25号大街交叉口（浙江工商大...,2室3室4室5室,43.73-220㎡,总价700万元/套起
竹径云山,余杭,良渚,古墩路与东西大道交叉口西行3公里,2室3室4室商住,120-180㎡,均价19000元/㎡
九龙仓君玺,下城,市中心,东新路文晖路口,3室别墅,86-385㎡,均价34000元/㎡
绿都南江壹号,萧山,南部卧城,萧山萧山主城区高桥路与晨晖路口南面,3室4室5室,89-480㎡,总价560万元/套起
绿城华景川百合花园,杭州周边,其他,天顺路,3室4室8室,89-119㎡,均价29000元/㎡
翡翠城,余杭,西溪,湿地以西约2公里(高教路、五常大道交汇...,3室4室,89-330㎡,最低35000元/㎡起
绿城运河宸园,拱墅,桥西,登云路小河路交叉口西北侧,3室别墅,89-189㎡,总价600万元/套起
万科未来城二期,余杭,良渚,"104国道,近疏港公路",3室4室,82-130㎡,最低6500元/㎡起
绿城九龙仓桂语江南,萧山,钱江世纪城,博奥路与启迪路交叉口,3室4室,140-140㎡,总价1200万元/套
湖景居,下沙,金沙湖,下沙七格路600号（下沙邵逸夫医院北）,4室,82.6-89.7㎡,均价13000元/㎡
御金台国际中心,萧山,钱江世纪城,民和路与平澜路交汇处,2室3室,269.1-417.8㎡,均价45000元/㎡
新湖武林国际公寓,下城,市中心,环城北路167号,商住,87-298㎡,最低48000元/㎡起
美莱国际中心,余杭,临平,新城南苑街迎宾路口,2室3室4室,45-48㎡,均价14000元/㎡
九玺空间,西湖,三墩,池华街（金渡北路延伸段）与紫萱路交汇...,商住,36.3-420㎡,均价20000元/㎡
北大资源未名府,余杭,仓前,荆长大道和海曙路交叉口,商住,89-130㎡,均价20000元/㎡
新城香悦公馆,萧山,萧山新城,金城路1799号,3室4室,89-180㎡,总价400万元/套
招商远洋春秋华庭,拱墅,上塘,储鑫路与沈康路交汇处,3室4室别墅,89-139㎡,均价21000元/㎡
钱江西溪和景,西湖,西溪,西溪路537号,3室4室,177-283㎡,均价49000元/㎡
淮矿东元府,江干,城东新城,备塘路与备塘弄交叉路口,3室4室,89-115㎡,均价90000元/㎡
富春新天地,富阳,富阳,恩波大道581号,3室4室,40-127㎡,均价16000元/㎡
六合浅山,淳安县,淳安,睦州大道,3室5室商住,79-262㎡,均价21800元/㎡
新弘斯维登森林度假村,余杭,良渚,良渚镇西北角，安溪村用地内，临近东明...,2室3室4室,89-502㎡,均价16000元/㎡
西溪蓝海,余杭,仓前,文一西路与良睦路口向南200米,2室别墅,60-138㎡,均价20000元/㎡
杭州桃李春风,临安,临安,临安杭州市文一西路以西，青山湖科技大...,商住,81-183㎡,最低16000元/㎡起
佳源优优锦城,临安,临安,西墅街407号,别墅,89-89㎡,均价33000元/㎡
潮闻天下,萧山,江东新城,观十五线（观潮城旁）,3室4室,83-280㎡,总价2300万元/套
恒大名城博园,余杭,勾庄,农副物流园区博园路与棕榈路交汇处,3室4室别墅,59-161㎡,均价8274元/㎡
祥生钱塘新语,下沙,大学城北,下沙大学城北启潮路72号,1室3室4室,82-89㎡,均价17000元/㎡
创客空间,余杭,仓前,文一西路与创景路交叉口往北100米,3室,44-46㎡,均价16000元/㎡
恒大澜玉水晶熙园,之江,之江,之浦路与枫桦路交叉口往南100米处,商住,77-198㎡,最低7000元/㎡起
易辰江南大院,临安,临安,临安青山湖锦北街道潘山村,2室3室4室5室,94-180㎡,均价17000元/㎡
悦青蓝,余杭,闲林,黄家路,别墅,87-134㎡,均价15500元/㎡
万科中央公园,江干,城东新城,鸿泰路与莲花桥路交叉口,2室3室,89-139㎡,均价10000元/㎡
大都尚澜,余杭,临平,"东湖北路,近兴旺大道",3室4室,90-155㎡,均价32000元/㎡
保利中央公馆,江干,市中心,"艮山西路,近新塘路",2室3室4室,102-140㎡,均价30000元/㎡
光明尚海湾,萧山,萧山新城,育才路与晨晖路交叉口南侧,3室4室,88-188㎡,均价16000元/㎡
万科郡西澜山,余杭,良渚,"风情大道,近福田路",3室4室,90-170㎡,均价40000元/㎡
昆盛肖邦,江干,九堡,九福路与九华路交叉,2室3室4室,75-116㎡,均价34000元/㎡
理想康城一品,余杭,临平,星河南路以东、世纪大道以北,2室3室,128.55-380㎡,均价14000元/㎡
杭州中粮大悦城,拱墅,市中心,西至永固路、紧邻学院北路，东至城市南...,3室4室5室6室,55-55㎡,均价3900元/㎡
尚城墅,滨江,浦沿,六和路365号,商住,88-249㎡,均价12000元/㎡
万科玉泉,西湖,西溪,西溪路与杨梅山路交汇处（和家园求是小...,别墅,90-140㎡,均价35000元/㎡
融信杭州公馆,西湖,市中心,学院路300号,3室4室别墅,58-274㎡,均价18119元/㎡
首开武林8栋,江干,市中心,石桥路143号,1室3室4室5室6室,74-129㎡,总价130万元/套
顺发堤香,萧山,萧山新城,"金鸡路,近博学路",2室3室4室,89-172㎡,均价20000元/㎡
贝利云栖中心,之江,之江,西湖区之江新城320国道与象山路交叉口...,2室3室4室,44-60㎡,均价16000元/㎡
澳海香樟苑,富阳,富阳,春江街道大桥南路188号（南站往北800米...,商住,90-106㎡,均价33000元/㎡
运河协安蓝郡,西湖,三墩,"金昌路,近古墩路",3室,90-173㎡,均价30000元/㎡
南洋名都,临安,临安,临安市玲珑街道玲珑街19号,2室3室4室,127㎡,均价17800元/㎡
万科劝学里,余杭,良渚,东西大道北、风情大道西,3室,89-139㎡,最低8500元/㎡起
绿都云和湖,西湖,三墩,庒墩路和联鸿街交叉口,3室4室,115-128㎡,总价660万元/套
盈都君悦,下沙,大学城北,启潮路48号,3室4室,70-130㎡,均价9000元/㎡
光明御品,杭州周边,其他,环太湖路,2室3室4室,156-219㎡,均价11000元/㎡
昆仑华府,余杭,良渚,东至张家坝港，南至新104国道防护林，...,别墅,89-118㎡,均价13000元/㎡
中海御道,江干,钱江新城,之江路与御道路交汇处，塘工局路和之江...,2室3室4室,108-235㎡,均价8200元/㎡
宋都时间国际,江干,城东新城,德胜路与同协南路交汇处（德胜高架同协...,3室4室,40-41㎡,均价8000元/㎡
西房余杭公馆,余杭,老余杭,安乐路与禹航路交汇处西北角,商住,87-115㎡,总价166万元/套起
中南漫悦湾,建德市,建德,新安江街道浦发路与江滨大道交汇处,3室4室,90-150㎡,均价17500元/㎡
金都夏宫,余杭,临平,"北沙西路,近星河路",3室4室别墅,80-144㎡,均价23000元/㎡
北大资源颐和江南,余杭,良渚,东至杜文路，南至下门坝港、西至良祥路...,2室3室4室,112-125㎡,均价13000元/㎡
佳源湘湖印象,萧山,湘湖,湘湖旅游度假区风情大道与南六路交叉口,3室4室,89-166㎡,最低16000元/㎡起
中港罗兰小镇,余杭,中泰,中泰路与杭泰路口西面,4室5室,109-260㎡,均价25000元/㎡
临平芳满庭,余杭,临平,人民大道与香雪路交叉口,3室4室别墅,89-127㎡,均价12000元/㎡
上实海上海,余杭,勾庄,古墩路与金汇南路交汇处,2室3室,85-124㎡,均价30000元/㎡
融信保利创世纪,萧山,钱江世纪城,奔竞大道与民和路交汇处（地铁2号线盈...,3室4室,109-129㎡,总价1100万元/套
景瑞阳光城法兰公园,余杭,临平,天荷路60号,3室4室,93-217.47㎡,均价12000元/㎡
中企艮山府,江干,钱江新城,"运河东路,近艮山西路",3室4室别墅,88-280㎡,均价18000元/㎡
春天华府,临安,临安,保锦路169号,3室4室5室,120-204㎡,均价16500元/㎡
宋都阳光国际,江干,钱江新城,之江东路与久盛路交汇处,3室4室,239-321㎡,均价17000元/㎡
地铁绿城杨柳郡,江干,城东新城,建华路与备塘河交汇处东北面,4室,90-148㎡,均价11000元/㎡
复地壹中心,拱墅,桥西,莫干山路与育英路交叉口,3室4室,38-80㎡,总价28万元/套
钱塘大观,滨江,浦沿,"闻涛路,近新和路",商住,230-230㎡,均价8500元/㎡
